scholar_no,roll_no,student_name,father_name,mother_name,dob,student_class,school_name,Block,District,school_dice_code,examination_center,examination_center_code,examination_date,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,marksheet_id
1184,11046,prisha,prisha,prisha,16-Jul-11,8,Aloak Pulblic school,C,Ahmedabad,1100444,Cambridge,1346,05-Mar-02,60,60,60,60,60,60,60,60,60,1188635
1188,11047,trusha,trusha,trusha,26-Jul-09,8,Aloak Pulblic school,E,Ahmedabad,1100447,Cambridge,1353,06-Mar-02,50,50,50,50,50,50,50,50,50,1188636
1192,11048,tisha,tisha,tisha,06-Aug-07,8,Aloak Pulblic school,F,Ahmedabad,1100450,Cambridge,1360,07-Mar-02,40,40,40,40,40,40,40,40,40,1188637
1196,11049,rachit,rachit,rachit,16-Aug-05,8,Aloak Pulblic school,D,Ahmedabad,1100453,Cambridge,1367,08-Mar-02,30,30,30,30,30,30,30,30,30,1188638
1200,11050,sarthak,sarthak,sarthak,27-Aug-03,8,LBS,C,Ahmedabad,1100456,Cambridge,1374,09-Mar-02,20,20,20,20,20,20,20,20,20,1188639
1204,11051,vikas,vikas,vikas,06-Sep-01,8,LBS,E,Ahmedabad,1100459,Cambridge,1381,10-Mar-02,10,10,10,10,10,10,10,10,10,1188640
1208,11052,ravij,ravij,ravij,01-Jun-88,8,LBS,F,Ahmedabad,1100462,Cambridge,1388,11-Mar-02,0,0,0,0,0,0,0,0,0,1188641
1212,11053,dhyan,dhyan,dhyan,12-Jun-86,8,LBS,D,Ahmedabad,1100465,Cambridge,1395,12-Mar-02,50,50,50,50,50,50,50,50,50,1188642
1216,11054,aman,aman,aman,20-Mar-02,8,LBS,B,Ahmedabad,1100468,Cambridge,1402,13-Mar-02,40,40,40,40,40,40,40,40,40,1188643
1220,11055,ravi,ravi,ravi,30-Mar-00,8,LBS,C,Ahmedabad,1100471,Cambridge,1409,14-Mar-02,30,30,30,30,30,30,30,30,30,1188644
1224,11056,ali asgar,ali asgar,ali asgar,10-Apr-98,8,LBS,E,Ahmedabad,1100474,Cambridge,1416,15-Mar-02,20,20,20,20,20,20,20,20,20,1188645
1228,11057,ajey,ajey,ajey,20-Apr-96,8,LBS,F,Ahmedabad,1100477,Cambridge,1423,16-Mar-02,10,10,10,10,10,10,10,10,10,1188646
1232,11058,tanmay,tanmay,tanmay,01-May-94,8,LBS,D,Ahmedabad,1100480,Cambridge,1430,17-Mar-02,90,90,90,90,90,90,90,90,90,1188647
1236,11059,shruvi,shruvi,shruvi,11-May-92,8,LBS,B,Ahmedabad,1100483,Cambridge,1437,18-Mar-02,60,60,60,60,60,60,60,60,60,1188648
